Arrondissement,Trafic
Arrondissement 1,6.421590163934425
Arrondissement 2,19.298919191919193
Arrondissement 3,26.475538461538466
Arrondissement 4,16.02575
Arrondissement 5,20.45633648170012
Arrondissement 6,15.808883720930236
Arrondissement 7,8.657789731051345
Arrondissement 8,6.245536082474228
Arrondissement 9,49.147864406779675
Arrondissement 10,27.199868512110726
Arrondissement 11,37.679324250681205
Arrondissement 12,20.24141692789969
Arrondissement 13,23.327783216783217
Arrondissement 14,21.96404964539007
Arrondissement 15,25.0805
Arrondissement 16,17.725589127686476
Arrondissement 17,27.215183421516755
Arrondissement 18,30.24194675540765
Arrondissement 19,25.60164948453608
Arrondissement 20,30.68960535117057
