Arrondissement,Latitude,Longitude
Arrondissement 1,48.8640396,2.3311563
Arrondissement 2,48.8675565,2.3438919
Arrondissement 3,48.8634991,2.3590784
Arrondissement 4,48.8565921,2.3522133
Arrondissement 5,48.840813,2.3519279
Arrondissement 6,48.8481072,2.3279439
Arrondissement 7,48.8538225,2.3123883
Arrondissement 8,48.8689621,2.3101408
Arrondissement 9,48.8789787,2.337829
Arrondissement 10,48.8785238,2.3541085
Arrondissement 11,48.8579444,2.3803946
Arrondissement 12,48.8367061,2.4034918
Arrondissement 13,48.8261675,2.3598969
Arrondissement 14,48.8313922,2.3254388
Arrondissement 15,48.8426159,2.2924372
Arrondissement 16,48.85816,2.2748917
Arrondissement 17,48.8848008,2.2979165
Arrondissement 18,48.8915575,2.3496507
Arrondissement 19,48.8822252,2.3819534
Arrondissement 20,48.8647988,2.398667
